"TOTAL_REVENUE","INSTR_TOTAL_EXP_RATIO","MEDIAN_INCOME","ALL_STUDENT_TEACHER_RATIO","avg_att_rate","povrate","wic_total","health_rank","pop_govhealthins","anti_education","party_state","policy_mood","innovatescore","pollib_median","AVG_ALL_SCORES","grad_rate"
17.2228114,0.963093168115859,10.96099982,15.05243259,93.80752857,14.9,492071,34,6640.7,0.068356413,-0.004545454,36.65012551,0.06902225,-0.918448,254.2183678,75
17.11869319,0.964905198629659,10.9503978,15.2498275,93.80752857,14.9,483565,35,6813.240111,0.067613431,0.041807993,36.65012551,0.06902225,-0.997448,253.9949518,76.1
17.19002595,0.96496806700763,10.93391468,15.27881466,93.80752857,16.5,483811,35,7208.719778,0.070187276,0.056087339,36.65012551,0.06902225,-1.026923197,248.2076382,80.7
16.75293053,0.963656721002212,11.30248828,15.57631919,93.5238,11.9,246296,41,1983.3,0.056647066,-0.079664573,37.74399948,0.185019,-1.47637,242.8818236,61.2
16.77887568,0.963697112399688,11.26244592,14.79647004,93.7975,14.4,267452,41,2461.08,0.06368076,-0.055363324,34.10300064,0.111851,-1.5429,242.6723198,62.4
16.9057306,0.964238420884633,11.1996878,14.34154951,94.6863,13.6,283111,40,2494.87,0.067328438,0.024830699,38.56900024,0.002012,-1.69291,248.8209337,65.4
16.88419066,0.962410688539142,11.0164145,13.93306911,95.7123,18.4,499213,43,2596.19,0.059225011,0.074398249,38.77899933,0,-1.8236,250.8122529,68.4
16.83945505,0.965755842435689,10.98007643,14.91261751,94.46112857,18.4,469456,38,3077.96,0.086126421,0,37.61512518,0.0747205,-1.84658,250.8750892,70
16.77252141,0.964533004208832,10.94101207,15.57475936,94.46112857,16.3,289524,40,3161.891222,0.091449777,0.033628764,37.61512518,0.0747205,-2.09903,247.2005534,72.5
16.81758236,0.963889416527156,10.97293099,15.64941356,94.46112857,20.1,264299,40,3370.470889,0.099544797,0.049913256,37.61512518,0.0747205,-2.158897121,253.5922942,79.4
14.88023282,0.95966125352728,11.50249824,16.7528479,91.3566,9.3,32788,5,375.597,0.064397098,0.023809524,41.63100052,0.003498,1.67257,237.9575648,72.6
14.91096062,0.961698234021598,11.52283565,16.43504396,91.8996,8.6,32586,3,418.522,0.060322457,0.25,53.95100021,0.179121,1.6399,242.5157671,75.5
15.12280612,0.95784347897557,11.47444227,16.03477952,92.3745,7.5,32612,4,415.474,0.058420351,0.166666672,60.0530014,0.143351,1.751,245.9025987,76
14.98478021,0.966105021131125,11.26639727,15.89003984,91.9921,12.5,36320,4,464.098,0.045161687,0.148148149,61.68099976,0.011364,1.84365,246.2634431,78.5
14.86351154,0.960101192734867,11.23034486,15.76007266,92.05897143,12.1,36753,3,532.193,0.068542076,0.137931034,53.2768755,0.0843335,2.08961,243.0822696,81
14.7592649,0.95917486924443,11.19911713,15.916335,92.05897143,11.1,36370,4,538.8961667,0.067769642,0.279685433,53.2768755,0.0843335,2.37831,254.1399471,81.8
14.88986044,0.959228318175551,11.21255601,15.63821788,92.05897143,13.7,31616,4,572.5116667,0.070443361,0.313824015,53.2768755,0.0843335,2.396047879,248.9358166,82.7
14.67075434,0.957472908426756,11.30093752,17.89032815,94.0405,10.2,34754,14,346.924,0.070195568,-0.233333334,35.19100189,0.027388,-1.07727,250.1838895,81.5
14.67492868,0.958542626534293,11.22360759,17.94687785,94.2847,9.9,37850,12,354.425,0.073200359,-0.303030312,40.42200089,0.001246,-0.97397,252.1223207,80.5
14.72811263,0.958758786501278,11.21078546,18.10291131,93.9012,9.9,38087,17,382.483,0.076222927,-0.173913047,42.58599854,0.089256,-1.08571,253.0898338,80.1
14.77569598,0.960260399426589,11.09274091,18.15757856,94.9109,13.7,46175,14,412.476,0.106222048,-0.024390243,40.57799911,0.00578,-1.157,247.9653415,79.8
14.68457108,0.960746204810549,11.01187494,17.60142262,94.21641429,15.7,44020,15,476.789,0.130108837,-0.081632651,39.14475012,0.0309175,-1.24366,255.0459066,79.4
14.61352144,0.960969524390009,11.02832114,19.55848959,94.21641429,12.9,43292,15,484.7398111,0.138166967,-0.058636813,39.14475012,0.0309175,-1.25167,253.0667961,77.3
14.66903539,0.959949339578964,10.98964642,18.63557971,94.21641429,16,40506,15,515.6887111,0.154091565,-0.015004495,39.14475012,0.0309175,-1.326787667,251.6251554,79.7
17.12532877,0.958449498061557,11.36450451,15.90423973,88.6392,12.6,266975,30,2988.43,0.054484358,0.083596215,41.88299942,0.288339,0.415064,248.3848049,80.3
17.162558,0.959901890123634,11.31488475,16.00573077,88.6307,11.5,275094,27,3060.34,0.05060394,0.159817353,37.14599991,0.202881,0.34306,248.3097046,79.7
17.20276706,0.959614557071688,11.2761432,15.02451272,89.0669,10,279982,28,3170.05,0.048528699,0.14623338,43.39899826,0.32998,0.5173,244.4911434,80.4
17.29070004,0.958547990172351,11.2151596,15.62007752,89.7055,13.2,309870,29,3722.01,0.057062187,0.156208277,41.98300171,0.022989,0.627521,253.0855455,82.3
17.33206294,0.961423834047821,11.07669355,15.72876418,88.89802857,14.2,295409,30,4055.85,0.083512311,0.122033902,41.07600022,0.21104725,0.760814,250.8859717,82
17.31576232,0.961953872183794,11.12805693,15.27538178,88.89802857,13.3,280463,28,4195.095333,0.085445833,0.143650841,41.07600022,0.21104725,0.758051,251.7634372,86
17.36400286,0.963910975173232,11.14687321,15.47864898,88.89802857,13.9,247594,28,4478.162667,0.094376723,0.151650309,41.07600022,0.21104725,0.890402576,249.6622722,85.5
16.25814242,0.956512407183236,11.30219554,16.74017809,93.3347,9.9,124683,35,1437.52,0.059851508,-0.03125,36.57699966,0.078024,-0.282675,251.0319406,73.5
16.54492504,0.955835368208913,11.18343737,16.86422403,93.4201,12.6,134706,38,1464.41,0.062551372,-0.184397161,33.43399811,0.099458,-0.393716,244.5149177,73.3
16.37646408,0.955533433284934,11.17494862,17.0498484,92.6642,11.8,140891,39,1623.76,0.06338863,-0.049149338,39.88600159,0.077209,-0.595609,256.1292778,74.1
16.56022888,0.957102909754358,11.03843273,16.69347993,93.297,16.1,170137,35,2025.15,0.064496424,0.001919386,40.47800064,0.005714,-0.374331,254.1120773,80.7
16.44269785,0.958195407054977,10.94626872,18.01813458,93.08925714,15.6,167875,37,2172.04,0.078075832,0.026737968,37.49787474,0.06510125,-0.405743,252.9824446,86
16.41707796,0.956786972087461,11.00458615,17.39578921,93.08925714,11.6,159525,37,2358.031111,0.080563957,0.017655065,37.49787474,0.06510125,-0.666295,255.4143354,87.9
16.4174938,0.955888644873651,10.99658552,18.50251621,93.08925714,16.3,154485,37,2560.204444,0.085491374,0.042580378,37.49787474,0.06510125,-0.592267924,257.6649389,86.8
15.62426646,0.952783454567477,11.27734749,13.94758916,95.126,8.9,64585,10,720.122,0.069762578,-0.06167401,40.25699997,0.033654,0.267573,246.1004756,85.8
15.62365741,0.956260957502575,11.27486927,13.78560106,98.7609,11.3,67823,9,742.663,0.064699166,0.019867551,35.27299881,0.076531,0.141502,253.7524679,86.9
15.67661504,0.954751572460749,11.2051594,13.55066895,101.609,8.9,69468,10,788.581,0.057501709,0.08880309,39.58399963,0.099394,0.435309,253.1830021,86.4
15.74144915,0.957023597952398,11.17366766,13.55799338,92.6271,10.7,75645,15,829.741,0.062077822,0.080152668,36.72200012,0.005814,0.892655,252.1081613,88.3
15.75545355,0.955298593019307,11.06841695,14.31135197,97.80782857,10.4,70931,16,931.395,0.089436457,0.078740157,37.83724976,0.05384825,0.837799,251.3552916,89
15.7502214,0.95632563669975,11.08625951,14.24804961,97.80782857,10.8,65876,13,917.3130111,0.088144297,0.137359678,37.83724976,0.05384825,0.584308,256.2259041,90.5
15.79950149,0.956107325516762,11.15415547,14.16068057,97.80782857,10.6,63481,13,956.9746444,0.094513214,0.171243042,37.83724976,0.05384825,0.902425212,255.0480648,91.3
15.55175309,0.96041208715558,11.34390444,14.4275036,88.3184,10.8,61229,20,737.937,0.057875028,-0.109004736,34.85400009,0.001823,-0.585702,254.4681631,77.9
15.53004264,0.959436933352139,11.17373765,14.24559699,87.2279,12.5,68218,22,703.996,0.061312695,-0.164285719,31.27499962,0.108531,-0.662887,251.5152048,77.6
15.64603676,0.960447899516296,11.19671996,13.3015837,89.4203,11.7,69067,25,771.772,0.065966798,-0.15384616,34.35599899,0.002546,-0.791824,255.3299023,79.1
