PRIMARY_KEY,STATE,YEAR,Inflation_pegged_2019,ALTERNATIVE_KEY,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,MEDIAN_INCOME,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,KINDERGARTEN_STUDENT_TEACHER_RATIO,ALL_STUDENTS,ALL_TEACHERS,KINDERGARTEN_ALL_RATIO_DIFF,,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,MEDIAN_INCOME,ALL_STUDENT_TEACHER_RATIO,AVG_ALL_SCORES
2003_TENNESSEE,TENNESSEE,2003,0.395,2003_TENNESSEE,905050,5994756,608447,2648909,2737400,6482671,3621601,1716956,341055,635950,51355,851286,227.7550447,268.1757286,211.9475411,269.7303543,18.33054612,927608,58652,2.515092256,,15.93929006,13.6515595,15.12255283,15.15541354,16.01753759,15.43532117,14.68895793,13.07269345,13.69576964,11.179412,15.81545386,244.4021672
2003_TEXAS,TEXAS,2003,0.395,2003_TEXAS,4201914,35143236,3360082,13675228,18107926,37333674,18009879,10264033,1731131,4764154,53747,4008249,237.3059218,277.052649,214.8080056,266.5661059,18.80644199,4259823,288655,4.048952948,,17.70783714,15.36037035,16.76399099,17.04475472,17.76830068,17.03932541,16.47705082,14.69717993,15.70952495,11.22493755,14.75748904,248.9331706
2003_UTAH,UTAH,2003,0.395,2003_UTAH,483066,2875622,263030,1607204,1005388,2957874,1508566,705128,205147,469251,67439,444537,234.7829509,280.6453697,219.2703384,261.719961,42.40985442,489262,22415,20.58241744,,15.20467397,12.81291779,14.622901,14.15377851,15.23287574,14.5595645,13.79902904,12.56437649,13.3917875,11.45187318,21.82743698,249.104655
2003_VERMONT,VERMONT,2003,0.395,2003_VERMONT,94901,1451171,79956,779124,592091,1440961,662999,345187,32289,46411,59208,92745,241.9260724,285.6455722,226.1217466,264.0255699,19.04504505,99978,8542,7.340760334,,14.52077579,11.62212618,13.89881991,13.62431003,14.51371523,13.73742318,13.08473599,10.71537631,11.07818619,11.32170636,11.70428471,254.4297403
2003_VIRGINIA,VIRGINIA,2003,0.395,2003_VIRGINIA,1175458,10504167,698716,4087720,5717731,10746679,5661291,3184333,425933,1069375,74977,1105346,239.2030891,281.6766434,223.3403592,264.2673651,23.7574893,1177229,99919,11.97565602,,16.50017701,13.78989406,15.55639233,15.89197702,16.52300175,15.88205693,15.30664782,13.29493175,14.21547934,11.55783109,11.78183328,252.1218642
2003_WASHINGTON,WASHINGTON,2003,0.395,2003_WASHINGTON,1014577,8565636,702469,5334268,2528899,8802387,4332487,2514359,396084,1189781,65020,950686,238.2928395,281.1513644,221.0966951,260.8795721,32.38554779,1014798,52953,13.22142111,,16.29616336,13.79525097,15.82255664,15.076189,16.32342791,15.61454672,15.07042287,13.222276,14.32217423,11.41534461,19.16412668,250.3551178
2003_WEST_VIRGINIA,WEST_VIRGINIA,2003,0.395,2003_WEST VIRGINIA,281591,2497707,267470,1519848,710389,2524444,1420396,761887,164473,166233,44840,260260,230.7677485,270.7703534,219.1795245,258.0889914,18.76675849,282455,20119,4.727541833,,15.06377808,12.8296571,14.5670153,13.8064624,15.07442581,14.49934068,13.87644794,12.34339612,12.35404011,11.04375029,14.03921666,244.7016545
2003_WISCONSIN,WISCONSIN,2003,0.395,2003_WISCONSIN,875390,8931497,530014,4838109,3563374,9128279,4844788,2757563,346325,733156,63324,820659,236.755414,283.9158657,220.8334276,269.9710586,19.26185705,881231,60385,4.668315605,,16.33798899,13.51355312,15.72492892,15.41911282,16.35978215,15.72630846,15.16275229,13.08802733,13.8380082,11.3889141,14.59354144,252.8689415
2003_WYOMING,WYOMING,2003,0.395,2003_WYOMING,85966,962240,84308,489199,388733,915515,473447,292271,27608,110312,58241,81238,241.0857006,283.5033499,222.0751664,258.1083646,26.98684211,88116,6799,14.02670091,,14.10991359,11.67512645,13.43341905,13.20354243,14.06013644,13.40068967,12.91833115,10.55875528,11.94396241,11.30523927,12.9601412,251.1931454
2005_ALABAMA,ALABAMA,2005,0.315,2005_ALABAMA,729342,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605,511944,47885,681201,225.0712362,262.2111,207.752033,273.0457572,11.29565735,730140,51594,-2.855988193,,15.86259745,13.68276749,15.26725178,14.77066471,15.86508977,15.2055964,14.645536,13.3184655,13.41980719,11.05039425,14.15164554,242.0200316
