Key,Value
1991_MISSISSIPPI,502417
2018_MISSOURI,915472
2017_MISSOURI,915040
2016_MISSOURI,919234
2015_MISSOURI,917785
2014_MISSOURI,918288
2013_MISSOURI,917900
2012_MISSOURI,916584
2011_MISSOURI,918710
2010_MISSOURI,917982
2009_MISSOURI,917871
2008_MISSOURI,917188
2007_MISSOURI,920353
2006_MISSOURI,917705
2005_MISSOURI,905449
2004_MISSOURI,905941
2003_MISSOURI,906499
2002_MISSOURI,909792
2001_MISSOURI,912744
2000_MISSOURI,914110
1999_MISSOURI,913494
1998_MISSOURI,910613
1997_MISSOURI,900517
1996_MISSOURI,889881
1995_MISSOURI,878541
1994_MISSOURI,866378
1993_MISSOURI,859357
1992_MISSOURI,842965
1991_MISSOURI,816558
2018_MONTANA,149474
2017_MONTANA,146375
2016_MONTANA,145319
2015_MONTANA,144532
2014_MONTANA,144129
2013_MONTANA,142908
2012_MONTANA,142349
2011_MONTANA,141693
2010_MONTANA,141807
2009_MONTANA,141899
2008_MONTANA,142823
2007_MONTANA,144418
2006_MONTANA,145416
2005_MONTANA,146705
2004_MONTANA,148356
2003_MONTANA,149995
2002_MONTANA,151947
2001_MONTANA,154875
2000_MONTANA,157556
1999_MONTANA,159988
1998_MONTANA,162335
1997_MONTANA,164627
1996_MONTANA,165547
1995_MONTANA,164341
1994_MONTANA,163009
1993_MONTANA,160011
1992_MONTANA,155779
1991_MONTANA,152974
2018_NEBRASKA,323766
2017_NEBRASKA,319194
2016_NEBRASKA,316014
2015_NEBRASKA,312635
2014_NEBRASKA,307677
2013_NEBRASKA,303505
2012_NEBRASKA,301296
2011_NEBRASKA,298500
2010_NEBRASKA,295368
2009_NEBRASKA,292590
2008_NEBRASKA,291244
2007_NEBRASKA,287580
2006_NEBRASKA,286646
2005_NEBRASKA,285761
2004_NEBRASKA,285542
2003_NEBRASKA,285402
2002_NEBRASKA,285095
2001_NEBRASKA,286199
2000_NEBRASKA,288261
1999_NEBRASKA,291140
1998_NEBRASKA,292681
1997_NEBRASKA,291967
1996_NEBRASKA,289744
1995_NEBRASKA,287100
1994_NEBRASKA,285097
1993_NEBRASKA,282414
1992_NEBRASKA,279552
1991_NEBRASKA,274081
2018_NEVADA,485785
2017_NEVADA,473744
2016_NEVADA,467527
2015_NEVADA,459189
2014_NEVADA,451831
2013_NEVADA,445707
2012_NEVADA,439634
2011_NEVADA,437149
2010_NEVADA,428947
2009_NEVADA,433371
2008_NEVADA,429362
2007_NEVADA,424766
2006_NEVADA,412395
2005_NEVADA,400083
2004_NEVADA,385401
2003_NEVADA,369498
2002_NEVADA,356814
