Key,Value
2011_NORTH CAROLINA,115782
2010_NORTH CAROLINA,104954
2009_NORTH CAROLINA,117282
2008_NORTH CAROLINA,120998
2007_NORTH CAROLINA,118443
2006_NORTH CAROLINA,116829
2005_NORTH CAROLINA,111753
2004_NORTH CAROLINA,109336
2003_NORTH CAROLINA,104843
2002_NORTH CAROLINA,102772
2001_NORTH CAROLINA,101049
2000_NORTH CAROLINA,101816
1999_NORTH CAROLINA,102603
1998_NORTH CAROLINA,102951
1997_NORTH CAROLINA,102435
1996_NORTH CAROLINA,100525
1995_NORTH CAROLINA,97508
1994_NORTH CAROLINA,93406
1993_NORTH CAROLINA,89809
1992_NORTH CAROLINA,88324
1991_NORTH CAROLINA,88176
2018_NORTH DAKOTA,9273
2017_NORTH DAKOTA,8843
2016_NORTH DAKOTA,8929
2015_NORTH DAKOTA,9031
2014_NORTH DAKOTA,8822
2013_NORTH DAKOTA,8578
2012_NORTH DAKOTA,8236
2011_NORTH DAKOTA,7449
2010_NORTH DAKOTA,7472
2009_NORTH DAKOTA,7217
2008_NORTH DAKOTA,6730
2007_NORTH DAKOTA,6650
2006_NORTH DAKOTA,6579
2005_NORTH DAKOTA,6643
2004_NORTH DAKOTA,6891
2003_NORTH DAKOTA,7013
2002_NORTH DAKOTA,7059
2001_NORTH DAKOTA,7146
2000_NORTH DAKOTA,7560
1999_NORTH DAKOTA,7920
1998_NORTH DAKOTA,8373
1997_NORTH DAKOTA,8464
1996_NORTH DAKOTA,8573
1995_NORTH DAKOTA,8677
1994_NORTH DAKOTA,8752
1993_NORTH DAKOTA,8847
1992_NORTH DAKOTA,9273
1991_NORTH DAKOTA,9547
2018_OHIO,123036
2017_OHIO,122516
2016_OHIO,124097
2015_OHIO,129013
2014_OHIO,131003
2013_OHIO,131874
2012_OHIO,131323
2011_OHIO,129964
2010_OHIO,131114
2009_OHIO,130405
2008_OHIO,130889
2007_OHIO,133990
2006_OHIO,135854
2005_OHIO,134215
2004_OHIO,134036
2003_OHIO,130996
2002_OHIO,121772
2001_OHIO,128640
2000_OHIO,130141
1999_OHIO,134981
1998_OHIO,137372
1997_OHIO,140234
1996_OHIO,141589
1995_OHIO,141284
1994_OHIO,140778
1993_OHIO,138911
1992_OHIO,142085
1991_OHIO,145294
2018_OKLAHOMA,51920
2017_OKLAHOMA,52194
2016_OKLAHOMA,53462
2015_OKLAHOMA,55134
2014_OKLAHOMA,54923
2013_OKLAHOMA,55115
2012_OKLAHOMA,53053
2011_OKLAHOMA,52114
2010_OKLAHOMA,51037
2009_OKLAHOMA,50497
2008_OKLAHOMA,49306
2007_OKLAHOMA,49362
2006_OKLAHOMA,48667
2005_OKLAHOMA,47152
2004_OKLAHOMA,46542
2003_OKLAHOMA,45050
2002_OKLAHOMA,43214
2001_OKLAHOMA,42979
2000_OKLAHOMA,43603
1999_OKLAHOMA,44664
1998_OKLAHOMA,54203
1997_OKLAHOMA,50387
1996_OKLAHOMA,48635
1995_OKLAHOMA,46355
1994_OKLAHOMA,44864
1993_OKLAHOMA,45010
1992_OKLAHOMA,45509
1991_OKLAHOMA,45904
2018_OREGON,41884
2017_OREGON,41796
2016_OREGON,41625
2015_OREGON,41645
2014_OREGON,42728
2013_OREGON,42642
2012_OREGON,41478
2011_OREGON,40656
2010_OREGON,40563
2009_OREGON,40556
2008_OREGON,39820
2007_OREGON,39572
2006_OREGON,39759
2005_OREGON,38997
2004_OREGON,38785
2003_OREGON,38204
2002_OREGON,38085
2001_OREGON,37739
