PRIMARY_KEY,STATE,YEAR,ALTERNATIVE_KEY,ENROLL,,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,KINDERGARTEN_STUDENTS,KINDERGARTEN_TEACHERS,KINDERGARTEN_STUDENT_TEACHER_RATIO,ALL_STUDENTS,ALL_TEACHERS,ALL_STUDENT_TEACHER_RATIO,KINDERGARTEN_ALL_RATIO_DIFF,MEDIAN_INCOME,
1993_CALIFORNIA,CALIFORNIA,1993,1993_CALIFORNIA,,,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1608514,1944760,59954,444104,420233,380223,277271,3328627,1393530,4782111,,,,,431763,14373,30.03986642,5254844,218566,24.04236707,-5.997499351,58470,218566
1993_COLORADO,COLORADO,1993,1993_COLORADO,,,3058326,147793,1242337,1668196,3028305,1537714,954032,92163,318959,7249,47598,50807,47665,34770,403871,164260,575380,,,,,47588,1182,40.2605753,612635,33419,18.33193692,-21.92863837,59182,33419
1993_CONNECTICUT,CONNECTICUT,1993,1993_CONNECTICUT,,,4064158,149204,1433539,2481415,4079943,2302852,1190914,143312,186802,6216,42338,39093,34662,27979,310022,127655,443893,,,,,41319,1507,27.4180491,488476,34193,14.28584798,-13.13220112,67810,34193
1993_DELAWARE,DELAWARE,1993,1993_DELAWARE,,,683954,44497,443250,196207,694534,394680,207850,26548,47372,565,8153,8285,8265,5882,67899,28930,97394,,,,,8025,204,39.33823529,104321,6252,16.68602047,-22.65221482,61886,6252
1993_FLORIDA,FLORIDA,1993,1993_FLORIDA,,,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220,1424334,34793,167140,168509,149054,100646,1313261,525569,1873623,,,,,161701,6392,25.297403,1981407,107590,18.41627475,-6.881128257,48992,107590
1993_GEORGIA,GEORGIA,1993,1993_GEORGIA,,,4716559,296231,2243580,2176748,4647974,2538712,1323320,260423,439808,5534,103365,99802,97354,62704,801526,324879,1131939,,,,,100745,4690,21.48081023,1207186,66942,18.03331242,-3.447497815,54334,66942
1993_HAWAII,HAWAII,1993,1993_HAWAII,,,1062475,76183,962375,23917,1063090,580597,304362,95700,82431,532,15199,14813,13245,10201,115852,48728,165112,,,,,14440,367,39.34604905,177448,10083,17.59873054,-21.74731851,73208,10083
1993_IDAHO,IDAHO,1993,1993_IDAHO,,,890835,72747,547454,270634,899819,499914,260805,41238,81359,1389,17039,18665,19185,15044,147789,69287,218465,,,,,16018,382,41.93193717,231668,11827,19.58806122,-22.34387596,53213,11827
1993_ILLINOIS,ILLINOIS,1993,1993_ILLINOIS,,,10584624,632724,3467071,6484829,10744695,5520683,3352722,426411,852085,42359,144758,138827,138518,106519,1114636,503024,1660019,,,,,139237,4174,33.35816962,1873567,111461,16.80917092,-16.5489987,56383,111461
1993_INDIANA,INDIANA,1993,1993_INDIANA,,,5833420,278090,3005534,2549796,5668599,2862585,1619011,268924,477709,3960,70226,72841,78125,60971,599876,282219,886055,,,,,66065,1965,33.62086514,960630,54552,17.60943687,-16.01142827,50579,54552
1993_IOWA,IOWA,1993,1993_IOWA,,,2880731,131444,1299055,1450232,2889377,1522556,818922,114390,196098,5430,36348,36370,38548,32588,297395,142601,445426,,,,,36428,1592,22.88190955,494839,31403,15.75769831,-7.124211239,49186,31403
1993_KANSAS,KANSAS,1993,1993_KANSAS,,,2386945,123082,1165178,1098685,2522542,1309958,802965,142268,195674,2432,34575,35975,35902,27644,290339,127081,419852,,,,,34826,1030,33.81165049,451536,29753,15.1761503,-18.63550018,51086,29753
