year,state,stateyear,foreign_born,soc_capital_ma,avg_att_rate,avg_daily_att_total,dropout_rate,enroll_students_public,fouryear_tuition,twoyear_tuition,grad_rate,foodinsecure,marginallyfoodinsecure,verylowfoodsecure,foodstamp_rep,lunchprogram_total,povrate,wic_total,gub_election,constitution_adopted,health_rank,quality_of_life_rank,lowinc_children,pop_govhealthins,pop_nohealthins,anti_education,pro_education,neutral_education,ideo_cit,ideo_state,party_state,policy_mood,charterschoolslaw,comp_years,evol_wkns_allowed,homeschool_records_extent,innovatescore,kind_att_rqd,mand_lic_teach,pollib_lower,pollib_median,pollib_upper,prvt_curric_control_extent,stnd_testing_rqd,taxcredit_parents,teacher_qual_rqd
2010,Connecticut,2010_Connecticut,13.60000038,0.68054742,,,,563968,9909.078528,3761.851356,83,13.577,20.583309,4.0462198,336064,303639,8.3,58108,1,0,4,18,23,946.919,396.988,0.046748211,0.718234813,0.235016976,68.40326,-0.059322033,0.114893615,43.37900162,1,13,0,2,0.003937,1,0,1.52604,1.93291,2.2815,1,2,0,0
2011,Connecticut,2011_Connecticut,13.39999962,0.73289973,,,,,9817.739747,3717.468994,85,13.89484,22.86524,4.4507899,378677,301545,10.1,56081,0,0,4,19,20,988.307,302.666,0.070793253,0.720207546,0.2089992,68.95002,0.184210524,0.086419754,,,,,,,,,1.75961,2.11293,2.57082,,,,
2012,Connecticut,2012_Connecticut,13.5,,,,,,10120.44244,3779.278869,85.5,16.48793,25.033119,4.4207902,403466.4167,296699,10.3,56584,0,0,6,33,17,,,0.094838295,0.72218028,0.182981425,67.81454,,,,1,13,0,2,,1,0,1.83546,2.24246,2.69588,1,2,0,0
2013,Connecticut,2013_Connecticut,,,,,,,10540.4044,3900.278866,87,13.62521,20.93243,4.2185502,425319.5,280253,11.3,54248,0,0,,,14,,,,,,91.8518,,,,,,,,,,,1.71409,2.15514,2.62793,,,,
2014,Connecticut,2014_Connecticut,,,,,,,10753.05045,3904.896035,87.2,13.98822,22.17556,6.7192202,438559,281949,,52561,1,0,,,14,,,,,,,,,,1,13,0,2,,1,0,1.89716,2.31896,2.78357,1,2,0,0
2015,Connecticut,2015_Connecticut,,,,,,,11267.24114,4081.997331,87.4,14.38694,26.135799,5.8564901,,280152,,51295,0,0,,,12,,,,,,,,,,1,,0,,,,,,,,,,0,
2003,Delaware,2003_Delaware,,0.074596778,92.4219,108751,5.5,116342,,,72.86071347,6.2217798,11.57393,1.34058,46027,75377,7.3,17839,0,0,36,3,8,205.456,78,0.057701621,0.728208888,0.214089491,54.93526,-0.219999999,0,71.28399658,,,,,0.111925,,,0.361923,0.759544,1.17338,,,,
2004,Delaware,2004_Delaware,,0.24790098,92.6963,110393,6.1,117668,8422.645,2576.727117,73.1,9.0649796,17.714371,2.18138,55642,78045,9.1,18353,1,0,33,3,13,216.94,108,0.054160358,0.732338243,0.213501398,66.86309,-0.15384616,0.107142858,65.96099854,1,11,0,1,0.111925,1,0,0.232956,0.659369,1.10522,2,0,0,0
2005,Delaware,2005_Delaware,7.699999809,0.41663507,94.2524,113986,5.3,119091,8682.50435,2667.560911,76.3,7.0186801,13.33697,2.1289599,61586,81032,9.2,19361,0,0,34,5,14,239.619,98,0.056193463,0.733189026,0.210617511,60.43797,-0.15384616,0.131578952,55.47999954,,,,,0.326232,,,0.165597,0.654594,1.11195,,,,
2006,Delaware,2006_Delaware,8.100000382,0.24994844,93.2419,113992,5.5,120937,8754.347622,2731.668649,71.9,10.24169,15.6619,3.5886199,65698,83648,9.3,19900,0,0,27,6,12,235.091,103,0.058226568,0.734039809,0.207733623,68.4558,0,0.319999993,53.23500061,1,11,0,1,0.326232,1,0,0.27918,0.722401,1.14806,2,0,0,0
2007,Delaware,2007_Delaware,7.599999905,0.28733307,95.0218,116472,5.5,122254,9020.507806,2798.113461,72.09997559,10.39174,15.25237,4.4551802,67185,85672,9.3,20426,0,0,30,9,10,243.553,91,0.056030591,0.719536049,0.22443336,73.23121,0.055555556,0.244897962,66.26599884,,,,,0.008982,,,0.21044,0.634893,1.06712,,,,
2008,Delaware,2008_Delaware,7.699999809,0.27723685,94.947,119092,6,122574,9070.594629,2878.390359,,10.11707,22.476219,4.18648,74429,88351,9.6,22244,1,0,33,14,14,255.153,92,0.053834615,0.70503229,0.241133096,81.89648,0.078947365,0.317073166,65.78900146,1,11,0,1,0.008982,1,0,0.246727,0.654944,1.03467,2,0,0,0
2009,Delaware,2009_Delaware,8.399999619,0.44806406,94.5411,119879,5.1,125430,10070.58599,3087.553162,,11.17325,18.30442,3.3341999,90933,90073,12.3,24028,0,0,32,14,13,281.655,115,0.054021082,0.713699069,0.232279849,77.60075,-0.200000003,0,72.7539978,,,,,0,,,0.305797,0.696238,1.11567,,,,
2010,Delaware,2010_Delaware,8,0.45570484,,,,126801,10622.15247,3188.963782,78,11.13348,17.994141,5.3865199,112513,91998,12.1,23625,0,0,32,14,7,295.444,101,0.05420755,0.722365849,0.223426601,71.35187,-0.278481007,0.03846154,65.48799896,1,11,0,1,0,1,0,0.236676,0.674996,1.10604,2,0,0,0
2011,Delaware,2011_Delaware,8.399999619,0.58225989,,,,,11118.32131,3287.137339,80,13.50218,20.75658,4.3501101,134927,94722,13.7,22553,0,0,31,19,10,310.791,90,0.075466797,0.717034292,0.207498911,67.96955,-0.142857149,0.238095239,,,,,,,,,0.173516,0.590377,0.98271,,,,
2012,Delaware,2012_Delaware,8.699999809,,,,,,11457.5803,3269.843001,80.4,12.21708,23.48605,5.1402202,148257.0833,96040,13.5,22214,1,0,31,20,15,,,0.096726045,0.711702735,0.19157122,67.97091,,,,1,11,0,1,,2,0,0.240789,0.660878,1.06559,2,0,0,0
2013,Delaware,2013_Delaware,,,,,,,11598.58136,3372.824355,87,15.22675,21.12294,4.7117801,153137.25,94571,14,20797,0,0,,,5,,,,,,66.41663,,,,,,,,,,,0.730651,1.1813,1.64648,,,,
2014,Delaware,2014_Delaware,,,,,,,11610.81875,3505.92192,85.6,11.24678,20.883181,3.13219,150232,94824,,19873,0,0,,,7,,,,,,,,,,1,11,0,1,,2,0,0.832518,1.27934,1.73511,2,0,0,0
2015,Delaware,2015_Delaware,,,,,,,11773.21182,3597.796424,85.5,12.30917,18.47028,1.89932,,97978,,18998,0,0,,,3,,,,,,,,,,1,,0,,,,,,,,,,0,
2003,Florida,2003_Florida,,-0.81702453,93.4574,2418329,3.4,2539929,,,66.44722871,12.62742,20.343941,4.3909302,1041315,1397558,12.7,354568,0,0,38,21,413,5035.07,2877.82,0.061846733,0.740913058,0.197240209,43.86201,-0.141858146,-0.033502538,40.0719986,,,,,0.047489,,,-1.04422,-0.637407,-0.190122,,,,
2004,Florida,2004_Florida,,-0.87926644,93.3312,2463323,3.4,2587628,3880.337582,2261.624393,64.6,11.61895,20.378799,3.2564299,1202227,1463971,11.6,373214,0,0,34,16,363,5274.82,3195.62,0.06283048,0.730129152,0.207040368,41.48152,-0.127853885,-0.011861314,40.86500168,1,10,0,2,0.047489,0,0,-1.06708,-0.628177,-0.180109,0,2,1,0
2005,Florida,2005_Florida,18.5,-1.1146891,93.2619,2494778,3.5,2639336,3957.005174,2363.365369,63.6,8.4212999,16.31962,3.02336,1381804,1523765,11.1,371365,0,0,33,11,465,5292.4,3481.81,0.061021836,0.72819894,0.210779223,46.91805,-0.144376904,-0.040816326,35.23600006,,,,,0.13141,,,-1.18511,-0.803626,-0.306524,,,,
2006,Florida,2006_Florida,18.89999962,-1.1144876,94.6067,2527431,4.1,2675024,3920.121892,2401.739838,65,11.37817,18.415899,3.4577601,1417749,1523315,11.5,382763,1,0,37,11,480,5120.41,3662.37,0.059213193,0.726268729,0.214518079,49.36701,-0.15691489,-0.022486772,36.00400162,1,10,0,2,0.13141,0,0,-1.12994,-0.746756,-0.351044,0,2,1,0
2007,Florida,2007_Florida,18.89999962,-0.88520104,93.5348,2494397,3.8,2671513,3911.813452,2346.394897,66.89996338,11.62638,19.42275,4.84268,1232803,1536860,12.5,420514,0,0,34,8,553,5251.85,3573.34,0.056316959,0.728146211,0.21553683,55.02769,-0.166326538,-0.010224949,35.29100037,,,,,0.09141,,,-1.0969,-0.665149,-0.252831,,,,
2008,Florida,2008_Florida,18.5,-0.52069783,93.8062,2468060,3.3,2666811,4184.661013,2507.514521,,19.136841,28.95591,7.4010501,1454928,1557738,13.1,464381,0,0,36,19,490,5555.45,3506.92,0.053420726,0.730023692,0.216555582,58.417,-0.100087032,0.0625,35.60300064,1,10,0,2,0.09141,0,0,-1.16707,-0.724212,-0.340984,0,2,1,0
2009,Florida,2009_Florida,18.79999924,-0.099250183,94.6545,2493694,2.6,2631020,4822.974827,2852.885712,,17.946779,29.74011,6.6807098,1952362,1560392,14.6,505671,0,0,36,19,526,5995.44,3995.89,0.045634417,0.750928273,0.20343731,54.42359,-0.100734524,0.04465213,32.55599976,,,,,0.00578,,,-1.23961,-0.908067,-0.458261,,,,
2010,Florida,2010_Florida,19.39999962,0.000631591,,,,2634522,5556.678324,3060.919545,71,17.098869,27.880671,5.9348102,2603185,1609051,16,509731,1,0,36,27,393,6475.07,3885.2,0.037848108,0.771832854,0.190319038,45.97037,-0.216237321,0.007014809,37.57400131,1,10,0,2,0.00578,0,0,-1.23773,-0.826814,-0.399845,0,2,1,0
2011,Florida,2011_Florida,19.39999962,0.23379432,,,,,5990.557484,3179.554426,75,16.35412,26.0765,5.9560299,3074671,1648792,14.9,492071,0,0,34,22,358,6640.7,3764.93,0.068356413,0.761049292,0.170594295,41.77639,-0.135746613,-0.004545454,,,,,,,,,-1.28019,-0.918448,-0.443406,,,,
2012,Florida,2012_Florida,19.5,,,,,,6549.139452,3246.73457,75.6,15.56894,25.98572,5.04632,3353064.083,1653685,15.3,495405,0,0,34,25,368,,,0.098864718,0.75026573,0.150869552,44.54064,,,,1,10,0,2,,0,0,-1.2885,-0.849894,-0.391796,0,2,1,0
2013,Florida,2013_Florida,,,,,,,6505.542291,3236.142731,76.1,15.37839,24.33901,6.48664,3556472.917,1638775,14.9,483565,0,0,,,309,,,,,,44.98034,,,,,,,,,,,-1.35935,-0.997448,-0.577915,,,,
2014,Florida,2014_Florida,,,,,,,6397.98686,3207.684914,77.9,15.62672,26.343019,6.1420898,3526311,1652023,,466736,1,0,,,253,,,,,,,,,,1,10,0,2,,0,0,-1.39473,-1.02951,-0.522084,0,2,2,0
2015,Florida,2015_Florida,,,,,,,6413.273721,3261.371831,80.7,11.81545,19.709841,5.4026098,,1675731,,483811,0,0,,,195,,,,,,,,,,1,,0,,,,,,,,,,2,
2003,Georgia,2003_Georgia,,-0.81682414,93.5238,1424004,5.8,1496012,,,61.1924266,12.46996,20.18409,3.9047301,750208,1129503,11.9,246296,0,0,41,27,209,1983.3,1302.86,0.056647066,0.710103842,0.233249091,39.21786,-0.256728768,-0.079664573,37.74399948,,,,,0.185019,,,-1.82325,-1.47637,-1.25323,,,,
2004,Georgia,2004_Georgia,,-1.1158159,94.0345,1460767,5.4,1522611,4333.933036,2636.444166,61.7,12.28806,24.16942,3.9569099,867148,1170116,13.1,259992,0,0,41,27,179,2361.64,1367.08,0.051967299,0.712404156,0.235628545,35.24056,-0.284023672,-0.046370968,38.9070015,1,10,0,2,0.185019,0,0,-1.96419,-1.52086,-1.26215,1,1,0,1
2005,Georgia,2005_Georgia,9,-1.6317403,93.7975,1499317,5.6,1553437,4529.680993,2719.286469,62.4,13.33302,21.52849,4.0448999,921427,1205372,14.4,267452,0,0,41,26,168,2461.08,1617.67,0.06368076,0.703069702,0.233249539,44.08528,-0.273037553,-0.055363324,34.10300064,,,,,0.111851,,,-1.97964,-1.5429,-1.2726,,,,
2006,Georgia,2006_Georgia,9.199999809,-1.8060126,94.6689,1542305,5.2,1598461,4622.550973,2644.160649,64.1,14.65574,23.346279,3.8952999,946812,1252790,12.6,276053,1,0,41,23,230,2452.78,1617.34,0.07539422,0.693735248,0.230870532,37.73932,-0.259842515,0.022038568,35.7859993,1,10,0,2,0.111851,0,0,-2.08171,-1.64896,-1.34279,1,1,0,1
2007,Georgia,2007_Georgia,9.100000382,-1.7472975,94.6863,1561935,4.6,1629157,4830.269357,2449.215747,65.39996338,13.96906,21.84001,5.0571799,950038,1272122,13.6,283111,0,0,40,20,219,2494.87,1629.62,0.067328438,0.684245688,0.248425873,43.15314,-0.275938183,0.024830699,38.56900024,,,,,0.002012,,,-2.10474,-1.69291,-1.3589,,,,
2008,Georgia,2008_Georgia,9.399999619,-1.2898318,94.8046,1569767,4.3,1649589,4871.711239,2301.837064,,20.25017,32.18642,6.9232502,1021155,1283958,15.5,305516,0,0,41,22,191,2523.21,1635.21,0.059262656,0.674756129,0.265981215,48.59572,-0.273833662,-0.011976048,39.31600189,1,10,0,2,0.002012,0,0,-2.27656,-1.74999,-1.41809,1,1,2,1
2009,Georgia,2009_Georgia,9.399999619,-0.74436057,95.7123,1596180,4.2,1655792,5596.259948,2900.936666,,18.504101,31.59866,5.9766798,1286078,1290996,18.4,499213,0,0,43,21,214,2596.19,1980.43,0.059225011,0.670992505,0.269782484,44.60794,-0.253218889,0.074398249,38.77899933,,,,,0,,,-2.30027,-1.8236,-1.47349,,,,
2010,Georgia,2010_Georgia,9.699999809,-0.59059966,,,,1667685,6481.687548,3090.722945,67,17.489531,29.109501,5.7158699,1591078,1303198,18.7,311993,1,0,37,21,197,2874.34,1878.68,0.059187366,0.667228881,0.273583753,39.73201,-0.32872504,-0.064914994,37.71699905,1,10,0,2,0,0,0,-2.4549,-1.92217,-1.51091,1,1,2,1
2011,Georgia,2011_Georgia,9.600000382,-0.2724666,,,,,7773.664389,3328.679257,70,19.396481,31.025221,5.8199301,1780039,1301069,18.4,469456,0,0,38,24,180,3077.96,1861.73,0.086126421,0.694703432,0.219170147,39.96733,-0.283898294,0,,,,,,,,,-2.41794,-1.84658,-1.46906,,,,
2012,Georgia,2012_Georgia,9.5,,,,,,7918.839187,3482.020414,71.7,16.293461,28.44438,6.2952399,1912838.75,1287033,18.1,303875,0,0,36,25,231,,,0.113065476,0.722177982,0.164756541,39.30435,,,,1,10,0,2,,0,0,-2.47677,-1.90406,-1.50031,1,1,2,1
2013,Georgia,2013_Georgia,,,,,,,8059.134065,3530.296776,72.5,18.041059,31.298161,4.6246901,1948188.583,1245368,16.3,289524,0,0,,,179,,,,,,42.22302,,,,,,,,,,,-2.73635,-2.09903,-1.59493,,,,
2014,Georgia,2014_Georgia,,,,,,,8130.348442,3635.626069,78.8,17.404869,29.78863,7.23246,1815833,1236304,,271416,1,0,,,143,,,,,,,,,,1,10,0,2,,0,0,-2.71521,-2.13067,-1.63186,1,1,2,1
2015,Georgia,2015_Georgia,,,,,,,8517.502959,3709.171234,79.4,13.70662,23.26232,4.8118601,,1236154,,264299,0,0,,,127,,,,,,,,,,1,,0,,,,,,,,,,2,
2003,Hawaii,2003_Hawaii,,,91.3566,167739,4.7,183829,,,72.64760508,7.2435298,15.35647,1.9026099,100382,131954,9.3,32788,0,0,5,33,8,375.597,108.151,0.064397098,0.71192508,0.223677822,77.91606,0.130434781,0.023809524,41.63100052,,,,,0.003498,,,1.31939,1.67257,2.06528,,,,
2004,Hawaii,2004_Hawaii,,,92.7068,169825,4.8,183609,4302.168648,1852.499081,75.1,8.4154396,17.296431,2.24562,98589,123721,8.4,33221,0,0,5,32,3,413.102,106.654,0.053400633,0.727699881,0.218899486,76.85773,0.022222223,0.130434781,43.47000122,1,12,0,2,0.003498,0,0,1.28846,1.62125,1.99551,0,1,0,0
2005,Hawaii,2005_Hawaii,17.20000076,,91.8996,168009,4.7,183185,4299.379104,1878.130374,75.5,10.29349,16.153971,3.6103899,93548,121189,8.6,32586,0,0,3,35,6,418.522,103.383,0.060322457,0.717848315,0.221829228,77.13784,-0.074074075,0.25,53.95100021,,,,,0.179121,,,1.25206,1.6399,1.9827,,,,
2006,Hawaii,2006_Hawaii,16.29999924,,91.527,165415,4.7,182818,4998.598865,2048.160216,75.4,6.99718,11.58727,2.3966,87942,112822,9.2,32075,1,0,4,34,8,378.791,99.3925,0.067244281,0.707996749,0.224758971,70.84,-0.083333336,0,52.89300156,1,12,0,2,0.179121,0,0,1.33621,1.68139,2.0358,0,1,0,0
2007,Hawaii,2007_Hawaii,17.29999924,,92.3745,166179,5.4,180728,5796.09217,2248.195209,76,9.5509901,20.742229,2.2365601,89629,101584,7.5,32612,0,0,4,33,5,415.474,87.3823,0.058420351,0.702530986,0.239048663,80.42712,0.127659574,0.166666672,60.0530014,,,,,0.143351,,,1.40863,1.751,2.10426,,,,
2008,Hawaii,2008_Hawaii,17.79999924,,92.5562,166118,5.4,179897,6370.531001,2398.111618,,15.55415,24.977341,5.3906498,96551,101270,9.9,34050,0,0,1,34,5,462.492,91.7352,0.049596422,0.697065223,0.253338355,84.50528,0.180327863,0.526315808,57.56399918,1,12,0,2,0.143351,0,0,1.51432,1.84821,2.20308,0,1,0,0
2009,Hawaii,2009_Hawaii,17.29999924,,91.9921,165766,4.9,179478,7417.726344,2729.964667,,16.488621,25.303499,5.9527998,114599,103807,12.5,36320,0,0,4,36,6,464.098,92.3742,0.045161687,0.722948619,0.231889694,84.05977,0.109090909,0.148148149,61.68099976,,,,,0.011364,,,1.4921,1.84365,2.2444,,,,
2010,Hawaii,2010_Hawaii,18.20000076,,,,,180196,8232.36133,2991.378279,80,16.49597,25.60214,6.0503201,138166,117353,12.1,37029,1,0,5,34,4,482.178,101.56,0.040726952,0.748832015,0.210441033,71.05154,-0.014492754,0.212121218,54.97200012,1,12,0,2,0.011364,0,0,1.59877,1.96069,2.37703,1,1,0,0
2011,Hawaii,2011_Hawaii,17.89999962,,,,,,8913.404166,3158.250879,81,19.16333,27.213249,8.3667698,159644,115694,12.1,36753,0,0,3,38,9,532.193,104.913,0.068542076,0.73815304,0.193304884,76.66191,-0.200000003,0.137931034,,,,,,,,,1.69556,2.08961,2.44999,,,,
2012,Hawaii,2012_Hawaii,17.89999962,,,,,,9046.950778,3253.03687,82.4,18.211491,26.48,6.09584,176822.5833,113618,13.8,37169,0,0,2,34,7,,,0.096357201,0.727474066,0.176168734,71.37162,,,,1,12,0,2,,0,0,1.73967,2.14115,2.54644,1,1,0,0
2013,Hawaii,2013_Hawaii,,,,,,,9347.00021,3350.343625,81.8,13.09514,21.935459,3.0508599,189349.75,113609,11.1,36370,0,0,,,6,,,,,,78.2971,,,,,,,,,,,1.9702,2.37831,2.92,,,,
2014,Hawaii,2014_Hawaii,,,,,,,9793.890702,3527.362559,81.6,14.96529,24.26301,3.5478301,194264,113989,,33923,1,0,,,5,,,,,,,,,,1,12,0,2,,1,0,1.9354,2.4001,2.96933,1,1,0,0
2015,Hawaii,2015_Hawaii,,,,,,,10259.70374,3694.40441,82.7,6.9233499,15.92585,2.1928599,,109591,,31616,0,0,,,2,,,,,,,,,,1,,0,,,,,,,,,,0,
2003,Idaho,2003_Idaho,,0.055883244,94.0405,237095,3.9,248604,,,81.5367758,16.244169,25.508421,3.27196,81524,148798,10.2,34754,0,0,14,30,31,346.924,240.164,0.070195568,0.717783949,0.212020483,22.46336,-0.263736278,-0.233333334,35.19100189,,,,,0.027388,,,-1.30355,-1.07727,-0.699411,,,,
2004,Idaho,2004_Idaho,,0.2157273,94.3401,241590,3.1,252120,4562.636626,2284.494752,81,16.82572,25.981251,3.3672199,91395,152570,9.9,36279,0,0,20,26,22,335.871,199.85,0.075129954,0.676290885,0.248579161,18.97788,-0.302083343,-0.224489793,34.03699875,1,9,0,0,0.027388,0,0,-1.24687,-0.916226,-0.498554,1,0,0,0
2005,Idaho,2005_Idaho,5.5,0.45390999,94.2847,247009,3,256084,4830.181853,2310.40825,80.5,12.5343,20.44434,2.6473999,93441,155700,9.9,37850,0,0,12,22,28,354.425,207.777,0.073200359,0.668400861,0.25839878,33.31723,-0.171052635,-0.303030312,40.42200089,,,,,0.001246,,,-1.26055,-0.97397,-0.576584,,,,
2006,Idaho,2006_Idaho,5.599999905,0.28696668,93.9779,251278,2.7,261982,4914.638487,2340.24773,80.4,11.67048,20.720819,2.58425,91106,161257,9.5,37034,1,0,19,18,30,391.113,222.538,0.071270764,0.660510837,0.268218399,23.16537,-0.276595742,-0.321839094,39.88399887,1,9,0,0,0.001246,0,0,-1.26498,-0.986473,-0.598638,1,0,0,0
2007,Idaho,2007_Idaho,5.599999905,0.17927258,93.9012,255523,2.6,267380,5062.482736,2416.867614,80.09997559,12.46995,20.8039,3.4114699,87068,165308,9.9,38087,0,0,17,17,27,382.483,203.855,0.076222927,0.661209805,0.262567268,31.6518,-0.350877196,-0.173913047,42.58599854,,,,,0.089256,,,-1.30859,-1.08571,-0.704779,,,,
2008,Idaho,2008_Idaho,5.900000095,0.004557583,94.0596,258712,2,272119,5045.661854,2441.872779,,13.01077,22.09704,4.72119,100198,168458,12.2,41781,0,0,8,20,24,394.62,233.155,0.081175089,0.661908773,0.256916138,36.25525,-0.222222224,-0.089552239,42.33000183,1,9,0,0,0.089256,0,0,-1.35113,-1.08996,-0.717162,1,0,0,0
2009,Idaho,2009_Idaho,6.300000191,0.16405754,94.9109,262238,1.6,275051,5459.929334,2702.028066,,10.17846,18.304991,3.78321,136243,170003,13.7,46175,0,0,14,24,32,412.476,231.09,0.106222048,0.688702551,0.205075401,27.6924,-0.272000015,-0.024390243,40.57799911,,,,,0.00578,,,-1.37131,-1.157,-0.806859,,,,
2010,Idaho,2010_Idaho,5.5,0.14057779,,,,276299,5883.411892,2819.180858,,15.06146,25.253771,3.8840101,194033,170081,14,47046,1,0,9,24,26,432.337,295.239,0.131269007,0.715496328,0.153234665,19.72223,-0.297101438,-0.253623188,38.13000107,1,9,0,0,0.00578,0,0,-1.42332,-1.20575,-0.900962,1,0,0,0
2011,Idaho,2011_Idaho,6,0.32740518,,,,,6052.337771,2972.910018,,18.224091,35.59267,5.35326,228629,170852,15.7,44020,0,0,15,27,42,476.789,266.259,0.130108837,0.695992366,0.173898796,24.26307,-0.224489793,-0.081632651,,,,,,,,,-1.44619,-1.24366,-0.951775,,,,
2012,Idaho,2012_Idaho,5.900000095,,,,,,6290.745177,3270.893385,,13.58387,25.471821,5.15484,233033.8333,170127,14.4,43751,0,0,17,18,33,,,0.128948668,0.676488404,0.194562928,27.08637,,,,1,9,0,0,,0,0,-1.48085,-1.26412,-0.968951,1,0,0,0
2013,Idaho,2013_Idaho,,,,,,,6516.224278,3808.772471,77.3,15.57945,28.89348,5.5694098,227006.25,160198,12.9,43292,0,0,,,23,,,,,,24.31598,,,,,,,,,,,-1.47683,-1.25167,-0.906375,,,,
2014,Idaho,2014_Idaho,,,,,,,6664.906873,3786.886209,78.9,13.21957,25.55666,4.4297099,211781,158266,,41423,1,0,,,21,,,,,,,,,,1,9,0,0,,0,0,-1.52385,-1.26424,-0.947145,1,0,0,0
2015,Idaho,2015_Idaho,,,,,,,6875.41154,3903.955109,79.7,13.18434,25.199409,4.8070898,,156992,,40506,0,0,,,13,,,,,,,,,,1,,0,,,,,,,,,,0,
2003,Illinois,2003_Illinois,,-0.21012083,88.6392,1862274,5.7,2084187,,,80.28277118,9.3500004,15.58185,2.8404701,953929,1097467,12.6,266975,0,0,30,18,225,2988.43,1741.9,0.054484358,0.728080045,0.217435597,57.44496,-0.117829457,0.083596215,41.88299942,,,,,0.288339,,,-0.016418,0.415064,0.845246,,,,
2004,Illinois,2004_Illinois,,0.089351937,88.7744,1862046,5.3,2100961,8251.117307,2528.445248,79.4,12.13819,18.639151,3.4739599,1069596,1079949,12.2,275833,0,0,29,17,227,3009.17,1569.53,0.050585313,0.738139264,0.211275423,60.50172,-0.046875,0.098674521,41.0340004,1,10,0,0,0.288339,0,0,-0.009516,0.436139,0.887786,2,0,1,0
2005,Illinois,2005_Illinois,13.60000038,0.33867782,88.6307,1871619,4.5,2097503,8515.012068,2644.161254,79.7,8.5133896,15.84561,2.5543201,1158271,1104595,11.5,275094,0,0,27,14,197,3060.34,1665.91,0.05060394,0.752600623,0.196795437,61.70262,-0.006622517,0.159817353,37.14599991,,,,,0.202881,,,-0.066907,0.34306,0.811503,,,,
2006,Illinois,2006_Illinois,13.80000019,0.34608254,88.7178,1879288,4,2111706,9528.911676,2721.025784,79.5,10.74399,17.27887,3.5504999,1225093,1104900,10.6,276597,1,0,23,17,197,2943.69,1710.37,0.050622567,0.767061982,0.182315451,59.06579,-0.094230771,0.09375,38.94800186,1,10,0,0,0.202881,0,0,0.161811,0.577031,0.992343,2,0,1,0
2007,Illinois,2007_Illinois,13.80000019,0.33639953,89.0669,1881810,4,2118276,10511.98777,2818.908689,80.39996338,11.03085,19.49379,3.6930799,1246400,1121006,10,279982,0,0,28,26,134,3170.05,1643.57,0.048528699,0.743213676,0.208257625,69.51468,-0.080575541,0.14623338,43.39899826,,,,,0.32998,,,0.09209,0.5173,0.929932,,,,
2008,Illinois,2008_Illinois,13.80000019,0.14186239,88.7517,1881276,5.2,2112805,10963.26484,2841.193373,,13.78685,22.94673,4.1727099,1299443,1137683,12.3,294685,0,0,29,27,157,3310.15,1549.31,0.046434832,0.71936537,0.234199798,67.27898,-0.123684213,0.083224967,42.66500092,1,10,0,0,0.32998,0,0,0.118461,0.53649,0.939555,2,0,1,0
2009,Illinois,2009_Illinois,13.5,0.21853377,89.7055,1887561,11.5,2119707,11632.80073,3049.559384,,14.63507,24.794861,3.9459901,1462421,1148891,13.2,309870,0,0,29,33,216,3722.01,1813.4,0.057062187,0.704787825,0.238149988,63.70098,-0.071999997,0.156208277,41.98300171,,,,,0.022989,,,0.214538,0.627521,1.03875,,,,
2010,Illinois,2010_Illinois,13.69999981,0.16345502,,,,2104175,12107.90714,3322.527166,84,14.57928,23.646429,4.3137002,1645722,1167580,14.1,307278,1,0,29,38,174,3853.35,1898.32,0.067689541,0.690210281,0.242100178,56.48466,-0.153488368,0.13333334,41.54999924,1,10,0,0,0.022989,0,0,0.231469,0.568496,0.950952,2,0,1,0
2011,Illinois,2011_Illinois,14,0.29277262,,,,,12388.01272,3357.439045,82,15.37292,25.532749,4.66506,1793886,1162998,14.2,295409,0,0,30,39,128,4055.85,1873.33,0.083512311,0.693565455,0.222922234,61.06882,-0.180000007,0.122033902,,,,,,,,,0.363207,0.760814,1.15757,,,,
2012,Illinois,2012_Illinois,13.80000019,,,,,,12781.06317,3412.695121,83.2,12.78368,21.49295,4.1019301,1869712.833,1142443,12.6,288847,0,0,30,42,124,,,0.099335081,0.696920629,0.20374429,58.72151,,,,1,10,0,0,,0,0,0.409529,0.781753,1.18769,2,0,1,0
2013,Illinois,2013_Illinois,,,,,,,12960.16714,3495.842828,86,12.69269,20.22414,3.7054701,2040053.25,1124196,13.3,280463,0,0,,,79,,,,,,51.97337,,,,,,,,,,,0.336873,0.758051,1.23609,,,,
2014,Illinois,2014_Illinois,,,,,,,12919.55025,3579.391253,85.6,12.31656,22.456011,4.4848199,2015303,1100934,,265923,1,0,,,61,,,,,,,,,,1,11,0,0,,0,0,0.431066,0.915831,1.3692,2,0,1,0
2015,Illinois,2015_Illinois,,,,,,,13135.81181,3779.704046,85.5,10.56688,19.531191,4.1943498,,1108557,,247594,0,0,,,44,,,,,,,,,,1,,0,,,,,,,,,,1,
2003,Indiana,2003_Indiana,,-0.45425379,93.3347,943735,2.2,1003875,,,73.50557544,12.57732,19.6807,3.55423,470182,663592,9.9,124683,0,0,35,22,85,1437.52,752.58,0.059851508,0.709607475,0.230541017,46.09899,-0.113082036,-0.03125,36.57699966,,,,,0.078024,,,-0.730773,-0.282675,0.172804,,,,
